Body_Type,Gender,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_Efficiency,CarbonEmission
underweight,male,vegetarian,twice a day,electricity,walk/bicycle,often,97,never,24,large,5,9,37,24,Sometimes,1590
underweight,female,vegan,more frequently,wood,public,never,215,very frequently,1488,large,3,4,11,0,Yes,2067
normal,male,vegetarian,more frequently,wood,walk/bicycle,often,276,never,6,extra large,6,5,47,23,Yes,2233
overweight,male,vegan,twice a day,natural gas,public,never,148,never,477,extra large,5,23,5,10,Sometimes,1377
obese,female,pescatarian,twice a day,natural gas,public,never,95,frequently,354,large,1,3,16,8,No,1484
normal,male,vegan,twice a day,wood,walk/bicycle,sometimes,277,rarely,20,extra large,3,16,38,13,Sometimes,1794
normal,male,vegan,twice a day,coal,walk/bicycle,sometimes,118,never,11,large,2,2,9,0,Sometimes,1059
underweight,female,vegetarian,twice a day,wood,public,often,222,frequently,103,large,3,9,4,19,No,1538
normal,female,omnivore,daily,coal,private,often,75,rarely,9590,medium,4,20,18,15,Sometimes,3771
obese,male,pescatarian,twice a day,coal,public,sometimes,140,very frequently,1902,large,2,24,36,10,No,3585
underweight,male,vegan,daily,electricity,private,often,196,very frequently,627,extra large,2,1,45,9,Yes,2342
overweight,male,vegetarian,daily,electricity,public,often,244,frequently,626,small,6,20,6,22,No,1755
underweight,female,omnivore,more frequently,electricity,public,sometimes,125,very frequently,683,medium,3,23,35,5,Yes,2010
normal,female,pescatarian,less frequently,coal,private,often,236,frequently,6908,large,3,15,8,17,Yes,3535
normal,male,vegan,less frequently,wood,walk/bicycle,often,191,rarely,63,medium,5,8,35,3,No,1742
normal,female,omnivore,more frequently,coal,public,often,279,very frequently,918,large,1,15,29,9,Sometimes,2956
obese,female,vegan,twice a day,coal,walk/bicycle,never,211,rarely,72,medium,6,14,46,20,Sometimes,2041
underweight,male,vegetarian,twice a day,natural gas,walk/bicycle,never,128,rarely,54,extra large,3,20,50,18,Yes,1751
normal,male,vegetarian,twice a day,electricity,public,never,147,never,999,large,3,13,13,17,Sometimes,1087
obese,male,vegetarian,more frequently,wood,walk/bicycle,never,197,rarely,36,large,2,9,18,4,No,1389
underweight,male,omnivore,more frequently,electricity,public,often,254,very frequently,1616,large,3,24,25,16,Sometimes,2534
overweight,male,pescatarian,more frequently,electricity,walk/bicycle,often,65,rarely,45,extra large,7,23,42,19,Sometimes,2636
overweight,male,vegetarian,daily,wood,private,sometimes,114,frequently,2367,medium,3,1,41,23,No,2993
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,sometimes,299,rarely,91,large,4,10,23,23,Sometimes,1888
overweight,male,vegan,daily,electricity,private,sometimes,183,rarely,6583,extra large,1,12,13,21,No,2912
underweight,female,vegetarian,more frequently,coal,walk/bicycle,sometimes,171,never,65,extra large,5,14,47,9,Sometimes,1939
obese,male,omnivore,twice a day,electricity,walk/bicycle,sometimes,120,very frequently,39,medium,2,14,20,17,Yes,2556
overweight,female,vegan,twice a day,electricity,walk/bicycle,never,277,very frequently,75,small,5,11,47,10,Sometimes,2287
obese,female,omnivore,daily,wood,walk/bicycle,never,72,rarely,81,small,5,9,36,9,Yes,1435
normal,male,pescatarian,twice a day,electricity,walk/bicycle,never,187,rarely,11,large,1,2,48,3,Yes,1150
normal,male,omnivore,more frequently,coal,public,often,179,frequently,550,large,3,4,48,19,Yes,2539
underweight,female,omnivore,daily,wood,public,sometimes,122,rarely,1286,small,4,4,38,15,No,1458
obese,female,vegan,daily,coal,private,often,292,very frequently,1969,small,3,4,15,12,Yes,2851
normal,female,pescatarian,twice a day,coal,public,sometimes,202,never,1507,small,3,24,12,10,Sometimes,1024
obese,female,pescatarian,more frequently,coal,walk/bicycle,often,186,frequently,52,medium,2,17,21,15,Sometimes,2016
underweight,male,vegetarian,twice a day,coal,walk/bicycle,never,175,frequently,74,extra large,2,7,37,22,Sometimes,2168
obese,male,vegan,less frequently,wood,walk/bicycle,sometimes,285,frequently,79,small,3,6,43,23,Sometimes,2221
normal,female,vegan,daily,electricity,private,never,58,frequently,9665,small,1,16,21,2,Yes,933
obese,male,pescatarian,twice a day,wood,private,sometimes,139,frequently,5750,medium,5,18,34,6,Yes,4328
underweight,male,omnivore,twice a day,natural gas,public,often,94,very frequently,1669,small,1,24,36,14,Sometimes,2600
obese,female,omnivore,twice a day,natural gas,walk/bicycle,sometimes,256,rarely,93,large,2,24,37,2,No,1749
overweight,male,vegan,twice a day,coal,private,often,246,never,4179,medium,1,8,7,14,Yes,2449
normal,male,vegetarian,more frequently,natural gas,walk/bicycle,sometimes,113,rarely,77,large,4,9,28,15,No,1586
underweight,male,omnivore,more frequently,coal,public,sometimes,145,rarely,811,medium,6,20,43,11,Sometimes,2265
obese,male,omnivore,more frequently,coal,walk/bicycle,often,233,never,20,small,1,11,20,2,Yes,1964
overweight,female,vegetarian,more frequently,coal,public,never,135,very frequently,652,large,1,7,17,11,Yes,2374
underweight,female,pescatarian,more frequently,electricity,public,often,278,never,1862,medium,5,1,45,20,No,1550
underweight,female,pescatarian,more frequently,natural gas,walk/bicycle,sometimes,256,very frequently,22,extra large,2,24,36,22,Sometimes,2389
obese,male,omnivore,less frequently,electricity,walk/bicycle,often,230,very frequently,78,medium,7,15,13,24,No,3371
underweight,male,vegan,more frequently,electricity,walk/bicycle,sometimes,183,rarely,25,large,4,13,45,2,No,1347
normal,male,pescatarian,more frequently,wood,private,sometimes,84,never,1960,medium,1,18,11,23,No,1286
obese,male,vegetarian,twice a day,electricity,public,never,175,frequently,1234,large,4,7,38,1,No,2286
overweight,female,vegetarian,daily,electricity,public,often,115,very frequently,440,medium,1,2,48,9,Sometimes,2129
underweight,male,omnivore,daily,coal,private,never,97,frequently,2971,extra large,6,17,26,3,Sometimes,2679
overweight,male,vegan,less frequently,wood,private,never,161,rarely,2885,small,2,18,28,10,Sometimes,2494
overweight,female,omnivore,daily,coal,private,sometimes,125,frequently,4670,small,6,5,7,6,Yes,2551
overweight,female,vegetarian,daily,electricity,public,never,223,very frequently,1062,extra large,1,12,34,24,Sometimes,2132
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,often,254,never,20,extra large,1,1,48,23,Yes,1450
underweight,female,omnivore,more frequently,coal,public,never,98,frequently,1725,large,6,4,6,4,Yes,1801
normal,male,vegan,twice a day,coal,private,often,182,never,2880,small,5,10,9,1,Sometimes,1923
underweight,female,vegan,more frequently,electricity,walk/bicycle,sometimes,260,frequently,85,medium,7,16,44,24,Sometimes,1786
underweight,male,omnivore,daily,coal,public,never,72,rarely,350,large,7,9,36,16,Yes,2005
normal,female,omnivore,twice a day,coal,walk/bicycle,often,64,never,35,extra large,7,20,4,5,Yes,1666
normal,female,vegan,daily,natural gas,public,never,181,rarely,507,large,7,22,23,20,Sometimes,1442
obese,female,omnivore,less frequently,natural gas,private,often,178,never,8620,extra large,1,9,23,21,Yes,3781
obese,female,vegan,less frequently,natural gas,public,never,262,never,931,medium,1,3,12,16,No,825
obese,male,vegan,twice a day,coal,walk/bicycle,never,119,frequently,77,small,5,8,13,22,Sometimes,2170
normal,female,vegan,less frequently,electricity,public,often,165,rarely,667,medium,5,0,7,18,Yes,928
normal,female,vegan,more frequently,electricity,public,often,164,never,147,large,4,16,11,9,No,956
overweight,female,vegan,twice a day,coal,private,often,240,rarely,5914,extra large,5,5,7,18,No,2837
underweight,male,omnivore,daily,electricity,public,never,165,very frequently,364,extra large,7,23,26,21,Yes,2898
obese,female,omnivore,less frequently,coal,walk/bicycle,often,160,very frequently,33,extra large,6,16,18,4,Yes,3252
normal,male,vegetarian,more frequently,wood,private,often,59,rarely,5469,large,2,2,21,22,No,1601
underweight,female,pescatarian,more frequently,natural gas,public,often,140,very frequently,1715,medium,1,19,0,10,Yes,1786
underweight,female,vegetarian,more frequently,coal,public,never,220,very frequently,1475,large,2,22,15,4,Sometimes,2121
normal,male,vegan,daily,electricity,walk/bicycle,never,144,frequently,94,small,6,21,35,3,Sometimes,1607
underweight,male,pescatarian,more frequently,wood,private,never,194,never,5437,large,1,10,23,11,Yes,2608
overweight,female,pescatarian,daily,electricity,walk/bicycle,sometimes,58,never,25,small,2,20,50,17,Sometimes,1204
underweight,male,vegan,daily,coal,private,never,267,very frequently,3448,medium,2,22,41,7,No,3621
overweight,female,vegetarian,twice a day,wood,private,often,105,frequently,8943,medium,3,22,24,4,No,4025
underweight,male,vegetarian,twice a day,wood,walk/bicycle,sometimes,53,rarely,98,large,6,12,50,23,Yes,2074
obese,female,vegan,daily,coal,private,often,289,frequently,570,large,7,14,39,19,Sometimes,3143
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,often,209,frequently,92,extra large,4,7,47,15,No,2012
obese,male,pescatarian,more frequently,wood,private,never,65,never,3709,large,3,22,50,3,Sometimes,1668
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,often,108,frequently,32,small,3,18,27,10,No,1639
overweight,female,pescatarian,twice a day,coal,public,never,84,very frequently,144,extra large,2,23,34,2,Sometimes,2712
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,never,167,very frequently,47,small,5,6,19,21,Yes,2511
obese,female,vegan,more frequently,natural gas,walk/bicycle,often,262,rarely,17,medium,3,7,49,4,Yes,1950
normal,male,omnivore,twice a day,natural gas,private,often,186,very frequently,122,medium,3,7,2,19,Sometimes,2474
normal,female,pescatarian,daily,wood,public,often,219,never,1193,extra large,5,13,31,2,No,1616
underweight,male,omnivore,more frequently,coal,private,often,209,rarely,9989,medium,4,9,25,21,Sometimes,1844
obese,female,pescatarian,more frequently,natural gas,public,sometimes,112,never,1451,small,6,21,43,21,Yes,1778
obese,female,vegetarian,daily,coal,walk/bicycle,often,125,very frequently,51,large,3,22,28,6,Yes,2730
normal,male,omnivore,daily,electricity,public,often,265,never,1578,extra large,5,18,6,20,Sometimes,1814
underweight,male,omnivore,less frequently,natural gas,walk/bicycle,sometimes,118,frequently,64,medium,4,7,21,11,Yes,1674
normal,female,vegan,daily,natural gas,private,never,178,very frequently,357,extra large,3,21,28,11,Yes,2287
overweight,male,vegetarian,daily,coal,walk/bicycle,never,125,very frequently,25,extra large,3,17,44,20,Sometimes,3423
obese,female,omnivore,less frequently,wood,private,sometimes,155,never,3964,medium,2,18,7,20,Yes,2002
normal,female,omnivore,daily,coal,public,never,161,very frequently,60,large,5,6,2,23,Sometimes,2462
normal,female,vegetarian,twice a day,coal,private,never,199,very frequently,6211,extra large,5,8,45,17,No,3700
overweight,female,omnivore,daily,coal,private,often,211,never,7587,extra large,3,4,7,22,No,4239
overweight,female,vegetarian,twice a day,coal,private,often,167,very frequently,1630,small,5,5,28,0,No,3231
overweight,male,pescatarian,less frequently,natural gas,public,sometimes,141,very frequently,545,small,6,22,8,23,No,2598
obese,male,vegan,twice a day,electricity,walk/bicycle,sometimes,58,very frequently,2,medium,5,9,5,19,No,2673
overweight,female,omnivore,less frequently,coal,walk/bicycle,never,286,rarely,57,large,2,23,15,23,Sometimes,1767
obese,male,pescatarian,less frequently,natural gas,private,never,159,very frequently,1300,extra large,5,6,2,17,Yes,3423
underweight,female,vegan,twice a day,natural gas,private,often,226,rarely,2027,extra large,5,13,17,12,Sometimes,2117
overweight,male,omnivore,less frequently,electricity,private,often,139,rarely,3967,small,1,4,0,24,Yes,2475
overweight,male,vegetarian,less frequently,electricity,public,often,109,frequently,622,large,2,17,19,9,No,1707
normal,male,omnivore,less frequently,coal,walk/bicycle,often,234,frequently,28,medium,1,2,16,10,Sometimes,1809
underweight,male,vegan,more frequently,natural gas,private,never,97,never,6852,large,3,7,8,23,Yes,2225
normal,female,vegan,twice a day,natural gas,walk/bicycle,never,99,never,9,large,2,10,26,2,Yes,703
obese,female,omnivore,daily,coal,public,sometimes,189,very frequently,978,extra large,1,15,46,24,Yes,3503
overweight,female,omnivore,less frequently,electricity,walk/bicycle,sometimes,148,rarely,43,small,2,11,24,20,No,1078
underweight,female,vegetarian,more frequently,coal,private,sometimes,77,frequently,4538,extra large,5,13,48,18,Yes,2249
overweight,female,pescatarian,more frequently,coal,public,never,192,rarely,406,small,2,7,29,0,Sometimes,1368
underweight,female,omnivore,daily,electricity,public,sometimes,260,very frequently,62,small,2,17,27,2,Sometimes,1983
obese,female,omnivore,less frequently,electricity,public,never,262,frequently,529,small,3,4,47,20,Sometimes,2311
normal,male,pescatarian,daily,wood,private,sometimes,149,frequently,485,large,5,8,1,14,No,1889
overweight,male,vegan,daily,electricity,walk/bicycle,sometimes,144,frequently,50,large,2,20,47,5,Yes,2176
obese,male,vegetarian,less frequently,wood,walk/bicycle,sometimes,229,never,33,large,6,14,8,13,Sometimes,1576
underweight,female,omnivore,daily,electricity,walk/bicycle,sometimes,169,very frequently,76,extra large,4,22,22,7,No,2178
underweight,female,vegetarian,daily,electricity,public,often,221,never,494,medium,4,19,30,5,No,1141
normal,female,vegetarian,less frequently,wood,public,sometimes,217,rarely,1012,medium,7,16,50,13,Yes,1781
underweight,female,vegetarian,more frequently,electricity,private,sometimes,166,very frequently,3711,small,2,0,20,0,Sometimes,2831
obese,female,pescatarian,less frequently,electricity,walk/bicycle,never,136,rarely,39,large,1,1,22,8,Yes,922
normal,female,vegetarian,twice a day,coal,walk/bicycle,often,151,frequently,5,extra large,4,13,26,11,No,2122
overweight,female,pescatarian,more frequently,wood,walk/bicycle,never,162,frequently,62,small,4,3,42,6,No,1983
obese,male,vegan,less frequently,wood,walk/bicycle,often,106,frequently,76,large,7,4,40,21,No,3384
obese,male,vegetarian,more frequently,natural gas,public,often,113,never,1264,small,3,13,0,11,Yes,866
obese,male,vegan,daily,electricity,private,never,61,frequently,353,large,4,0,9,6,Yes,1844
obese,male,vegan,more frequently,wood,public,sometimes,99,rarely,852,small,3,15,1,16,Yes,1079
obese,female,omnivore,less frequently,electricity,public,never,212,very frequently,1423,large,5,1,1,24,Sometimes,2501
obese,male,vegetarian,more frequently,wood,walk/bicycle,never,238,frequently,73,medium,6,8,22,20,Sometimes,2278
underweight,male,vegetarian,daily,electricity,walk/bicycle,never,258,rarely,29,small,2,10,22,16,Yes,974
obese,male,vegan,twice a day,electricity,public,often,296,never,729,medium,6,14,31,24,No,2032
normal,female,vegan,more frequently,electricity,private,never,114,never,5937,large,5,10,32,16,Yes,1935
normal,female,pescatarian,daily,natural gas,private,sometimes,100,very frequently,3162,extra large,3,16,27,23,No,2773
obese,male,pescatarian,daily,wood,private,sometimes,292,frequently,3730,extra large,1,14,39,1,Yes,3659
obese,male,omnivore,more frequently,natural gas,private,never,279,very frequently,7185,large,4,7,30,24,Sometimes,3859
overweight,male,vegan,daily,wood,private,never,109,very frequently,3363,large,6,17,22,20,Yes,2971
normal,male,pescatarian,less frequently,coal,private,sometimes,203,frequently,8920,large,2,23,32,6,Yes,2179
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,often,255,very frequently,51,large,5,13,8,12,No,3010
underweight,male,vegan,more frequently,wood,private,sometimes,123,frequently,3288,small,6,10,14,9,Sometimes,2823
obese,male,vegetarian,twice a day,natural gas,walk/bicycle,never,195,rarely,99,small,7,23,49,5,Yes,1872
normal,female,vegan,less frequently,electricity,walk/bicycle,sometimes,59,very frequently,50,large,1,16,12,18,No,1511
overweight,female,pescatarian,twice a day,electricity,private,never,148,never,3722,medium,1,4,35,11,Yes,1843
overweight,female,vegetarian,twice a day,wood,public,never,224,very frequently,313,extra large,3,14,49,15,No,3088
underweight,female,vegetarian,twice a day,coal,private,sometimes,138,frequently,8744,medium,7,6,46,24,Sometimes,3404
underweight,female,vegan,daily,electricity,private,never,215,very frequently,9455,large,7,17,14,2,Sometimes,2049
underweight,male,pescatarian,less frequently,wood,private,often,234,very frequently,2827,medium,7,5,22,24,No,3939
normal,male,vegan,twice a day,natural gas,private,never,249,never,4294,extra large,2,24,49,19,Yes,2592
obese,female,pescatarian,daily,wood,walk/bicycle,sometimes,207,frequently,43,extra large,4,13,44,24,Yes,2666
normal,male,vegetarian,twice a day,natural gas,private,sometimes,158,rarely,6369,medium,3,12,26,5,Sometimes,2705
overweight,female,omnivore,daily,coal,private,sometimes,141,frequently,2072,medium,6,1,3,1,No,2138
overweight,male,vegetarian,daily,natural gas,walk/bicycle,often,190,never,62,small,7,3,6,6,No,821
overweight,male,omnivore,more frequently,coal,walk/bicycle,sometimes,60,rarely,10,medium,5,2,9,9,Yes,1615
overweight,female,omnivore,more frequently,coal,walk/bicycle,never,246,rarely,20,large,3,11,12,22,Sometimes,1870
obese,male,omnivore,daily,coal,walk/bicycle,often,167,very frequently,13,small,6,7,41,2,No,3690
underweight,female,omnivore,more frequently,natural gas,walk/bicycle,often,146,never,32,medium,4,19,46,8,No,1540
obese,female,pescatarian,more frequently,coal,public,often,228,never,1490,medium,6,11,33,19,No,2199
obese,female,pescatarian,more frequently,wood,walk/bicycle,often,233,very frequently,65,extra large,3,10,28,4,No,2993
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,never,75,never,72,small,5,15,42,16,Sometimes,1254
normal,female,vegan,twice a day,natural gas,public,sometimes,202,rarely,733,medium,7,5,25,8,Yes,1403
underweight,female,vegetarian,twice a day,coal,walk/bicycle,sometimes,285,never,21,small,6,10,45,17,No,1675
underweight,female,omnivore,less frequently,wood,private,sometimes,177,very frequently,7570,small,4,11,15,3,Yes,3634
overweight,female,vegetarian,less frequently,coal,public,never,95,frequently,944,small,5,7,17,11,Yes,1654
normal,male,vegan,twice a day,electricity,walk/bicycle,often,171,frequently,74,extra large,2,24,42,20,Yes,2079
obese,male,pescatarian,twice a day,natural gas,walk/bicycle,often,277,rarely,29,extra large,1,3,10,18,No,1627
obese,male,vegetarian,more frequently,wood,public,sometimes,112,frequently,1713,extra large,1,5,42,20,No,2668
obese,female,omnivore,more frequently,electricity,private,never,211,never,6762,small,2,11,50,20,Yes,3203
underweight,male,vegan,twice a day,wood,public,never,265,frequently,1402,large,5,17,40,10,Yes,1980
normal,female,omnivore,daily,coal,private,often,143,never,8855,large,5,2,45,22,Sometimes,4068
obese,male,omnivore,less frequently,electricity,public,never,220,frequently,769,large,5,6,4,8,Sometimes,2032
normal,male,omnivore,more frequently,natural gas,walk/bicycle,often,273,never,54,medium,5,12,37,8,No,2038
obese,female,omnivore,twice a day,wood,public,sometimes,263,very frequently,923,small,4,5,9,11,Sometimes,2788
underweight,female,omnivore,twice a day,coal,public,never,83,frequently,227,medium,6,12,23,0,No,1675
normal,male,vegan,daily,natural gas,private,never,219,rarely,5556,large,4,10,47,14,Yes,3114
overweight,male,vegan,twice a day,wood,public,often,226,rarely,539,small,7,13,23,7,No,1652
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,never,176,never,54,large,4,2,4,19,Sometimes,984
normal,male,pescatarian,less frequently,coal,walk/bicycle,never,84,very frequently,13,small,1,2,24,16,No,2331
underweight,female,vegetarian,daily,electricity,public,never,155,never,1478,medium,4,19,47,22,Yes,1110
normal,female,vegan,daily,electricity,walk/bicycle,sometimes,264,very frequently,10,medium,1,7,22,17,Sometimes,1816
normal,female,vegetarian,twice a day,natural gas,private,sometimes,120,very frequently,115,medium,2,11,49,17,No,2509
overweight,female,vegetarian,more frequently,natural gas,public,sometimes,276,frequently,1461,large,7,19,5,12,Sometimes,2327
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,never,202,rarely,20,large,2,14,47,18,Yes,1289
overweight,female,vegetarian,twice a day,coal,private,sometimes,296,rarely,5812,extra large,4,22,25,24,Yes,3715
obese,male,pescatarian,twice a day,coal,private,never,112,very frequently,4333,large,2,8,8,6,Yes,3810
overweight,female,omnivore,twice a day,electricity,private,sometimes,202,frequently,9282,medium,7,11,27,8,No,3199
obese,female,vegan,twice a day,coal,public,never,256,rarely,448,extra large,3,10,11,11,Yes,1741
overweight,male,omnivore,less frequently,electricity,private,often,107,rarely,3604,large,1,14,0,9,No,1824
underweight,female,vegetarian,less frequently,coal,public,never,230,very frequently,1891,small,6,2,44,8,No,2385
normal,male,vegetarian,less frequently,coal,public,never,94,very frequently,303,medium,4,3,13,4,No,2315
underweight,male,pescatarian,twice a day,electricity,private,sometimes,184,frequently,4493,small,7,10,48,14,Sometimes,1812
underweight,male,omnivore,more frequently,electricity,public,sometimes,90,very frequently,568,medium,4,8,23,6,No,2236
underweight,male,vegetarian,daily,electricity,private,often,105,rarely,4071,small,5,23,9,22,Sometimes,2195
overweight,male,vegan,twice a day,wood,public,sometimes,277,rarely,335,large,1,2,48,13,Sometimes,1928
normal,female,omnivore,twice a day,coal,private,sometimes,161,never,2914,medium,1,3,13,23,No,1033
obese,male,omnivore,daily,coal,private,never,89,never,4621,medium,4,22,46,1,Sometimes,2029
normal,female,vegetarian,more frequently,coal,public,often,240,very frequently,1726,medium,2,15,19,5,No,2540
obese,male,omnivore,more frequently,electricity,public,often,115,very frequently,909,large,4,15,34,3,Yes,2958
obese,male,omnivore,less frequently,coal,private,often,185,never,1444,large,1,9,49,19,Sometimes,2491
overweight,male,pescatarian,more frequently,coal,walk/bicycle,never,234,rarely,81,large,2,18,7,14,Yes,1652
obese,female,vegetarian,less frequently,natural gas,public,sometimes,245,rarely,65,small,4,21,42,23,Sometimes,1756
underweight,female,vegan,daily,natural gas,private,never,145,very frequently,645,extra large,4,17,17,0,Sometimes,2124
obese,male,vegetarian,less frequently,natural gas,private,often,191,very frequently,6482,extra large,7,17,23,10,Yes,5918
normal,male,vegan,more frequently,natural gas,walk/bicycle,never,198,never,3,extra large,2,5,22,22,Yes,1210
overweight,female,pescatarian,more frequently,coal,walk/bicycle,often,275,very frequently,84,small,5,18,27,16,Yes,2927
normal,male,vegan,twice a day,wood,walk/bicycle,sometimes,61,never,54,medium,1,8,35,8,Sometimes,1006
underweight,female,omnivore,more frequently,coal,walk/bicycle,often,275,rarely,11,extra large,3,16,32,7,Sometimes,1786
obese,female,pescatarian,more frequently,wood,public,sometimes,128,rarely,1681,small,1,0,20,18,Yes,1355
normal,female,vegetarian,less frequently,natural gas,public,never,170,very frequently,1105,large,2,14,36,21,Sometimes,2254
underweight,female,vegetarian,daily,wood,walk/bicycle,never,222,very frequently,60,small,5,4,0,19,No,1730
overweight,female,vegetarian,less frequently,electricity,private,often,287,very frequently,4885,large,1,21,21,3,Yes,3246
underweight,male,omnivore,twice a day,natural gas,walk/bicycle,never,271,rarely,80,extra large,6,4,3,7,No,1691
obese,female,vegan,daily,electricity,private,often,264,very frequently,3302,extra large,6,10,40,10,Sometimes,3274
normal,female,omnivore,more frequently,coal,private,never,245,very frequently,8174,extra large,2,11,6,23,Yes,2467
obese,male,pescatarian,daily,electricity,walk/bicycle,often,281,frequently,18,extra large,4,23,40,4,Sometimes,2794
obese,female,pescatarian,less frequently,natural gas,public,often,74,very frequently,1873,extra large,7,9,36,23,No,3778
overweight,male,pescatarian,less frequently,wood,walk/bicycle,often,97,very frequently,61,large,2,11,18,2,Yes,2377
overweight,female,vegan,daily,wood,public,often,246,very frequently,242,medium,3,17,29,17,No,2385
obese,female,omnivore,twice a day,natural gas,private,never,213,frequently,6337,extra large,4,13,1,0,Sometimes,3620
normal,female,omnivore,more frequently,electricity,private,sometimes,124,frequently,6432,large,6,10,15,0,Sometimes,1612
underweight,male,omnivore,more frequently,electricity,private,often,61,rarely,4055,large,1,18,32,10,Sometimes,2207
obese,female,vegetarian,less frequently,coal,walk/bicycle,sometimes,80,very frequently,52,small,3,16,40,8,Sometimes,2773
overweight,male,vegan,twice a day,coal,walk/bicycle,never,254,rarely,14,large,1,10,45,17,Sometimes,2092
underweight,female,vegetarian,more frequently,coal,public,often,74,never,697,medium,4,18,36,24,Sometimes,1348
overweight,male,omnivore,more frequently,electricity,public,often,134,frequently,1620,large,3,3,1,18,Yes,1797
overweight,female,vegan,less frequently,coal,public,often,139,rarely,1893,medium,2,9,39,1,Yes,1686
overweight,male,vegetarian,daily,coal,private,often,55,frequently,4762,small,6,4,45,17,No,4882
normal,male,omnivore,less frequently,wood,public,often,53,rarely,1055,small,7,4,23,20,No,1467
normal,male,vegetarian,more frequently,coal,public,often,181,never,963,extra large,4,5,44,23,Sometimes,2093
obese,male,omnivore,daily,electricity,private,never,246,rarely,9663,medium,3,22,21,8,Sometimes,4347
normal,female,vegan,daily,electricity,private,often,181,very frequently,298,small,4,20,0,7,No,1652
obese,female,pescatarian,twice a day,coal,public,sometimes,64,never,1279,medium,6,4,7,15,No,1348
obese,female,omnivore,less frequently,wood,public,sometimes,215,very frequently,1894,large,4,16,33,16,No,3404
underweight,male,pescatarian,more frequently,coal,public,sometimes,227,never,1655,small,6,14,9,24,No,1625
obese,female,vegetarian,twice a day,coal,private,never,93,frequently,4564,extra large,2,6,6,4,No,2857
obese,female,omnivore,less frequently,electricity,walk/bicycle,often,224,never,28,extra large,7,11,37,0,No,1951
obese,female,pescatarian,more frequently,wood,walk/bicycle,often,64,frequently,30,medium,4,13,10,18,Sometimes,1861
obese,male,pescatarian,more frequently,electricity,public,sometimes,155,rarely,333,large,2,9,48,13,Yes,1604
underweight,female,omnivore,less frequently,coal,private,sometimes,58,never,1396,small,7,7,5,9,No,1033
normal,female,vegan,daily,coal,public,never,163,rarely,634,extra large,1,22,16,18,No,1206
normal,male,vegetarian,more frequently,coal,private,often,176,never,7243,large,5,17,7,10,Yes,3575
obese,female,pescatarian,daily,electricity,public,never,294,never,1557,medium,4,4,29,10,Yes,1568
obese,male,pescatarian,less frequently,wood,walk/bicycle,sometimes,116,rarely,90,extra large,4,14,5,2,Yes,1596
normal,male,pescatarian,daily,natural gas,public,sometimes,116,frequently,1709,small,3,2,34,1,No,2007
